ensemble_size, batch_size, trial_num, predict (ms)
999,1,0,0.8476
999,1,1,0.222928
999,1,2,0.208838
999,1,3,0.199457
999,1,4,0.196097
999,1,5,0.203077
999,1,6,0.196447
999,1,7,0.195677
999,1,8,0.195257
999,1,9,0.195007
999,1,10,0.207737
999,1,11,0.196527
999,1,12,0.195407
999,1,13,0.193877
999,1,14,0.194707
999,1,15,0.202268
999,1,16,0.206257
999,1,17,0.197777
999,1,18,0.192887
999,1,19,0.198447
999,1,20,0.202727
999,1,21,0.198517
999,1,22,0.194857
999,1,23,0.195467
999,1,24,0.201547
999,1,25,0.202227
999,1,26,0.203637
999,1,27,0.194987
999,1,28,0.199687
999,1,29,0.193967
999,1,30,0.202857
999,1,31,0.202957
999,1,32,0.198217
999,1,33,0.191367
999,1,34,0.192147
999,1,35,0.197637
999,1,36,0.195047
999,1,37,0.194017
999,1,38,0.192496
999,1,39,0.191057
999,1,40,0.196867
999,1,41,0.195627
999,1,42,0.198077
999,1,43,0.191607
999,1,44,0.192627
999,1,45,0.195926
999,1,46,0.194567
999,1,47,0.190867
999,1,48,0.201887
999,1,49,0.196447
999,2,0,0.398154
999,2,1,0.367042
999,2,2,0.359663
999,2,3,0.343042
999,2,4,0.331842
999,2,5,0.392094
999,2,6,0.354282
999,2,7,0.349463
999,2,8,0.345692
999,2,9,0.356692
999,2,10,0.331472
999,2,11,0.332012
999,2,12,0.315641
999,2,13,0.319011
999,2,14,0.325482
999,2,15,0.317042
999,2,16,0.315201
999,2,17,0.310651
999,2,18,0.338212
999,2,19,0.316031
999,2,20,0.315391
999,2,21,0.307421
999,2,22,0.339772
999,2,23,0.332422
999,2,24,0.325011
999,2,25,0.322191
999,2,26,0.323452
999,2,27,0.311531
999,2,28,0.313401
999,2,29,0.320941
999,2,30,0.322521
999,2,31,0.312021
999,2,32,0.311831
999,2,33,0.311501
999,2,34,0.304711
999,2,35,0.305971
999,2,36,0.306451
999,2,37,0.304051
999,2,38,0.29868
999,2,39,0.306471
999,2,40,0.325261
999,2,41,0.328322
999,2,42,0.330932
999,2,43,0.316951
999,2,44,0.353862
999,2,45,0.348632
999,2,46,0.328732
999,2,47,0.316351
999,2,48,0.325801
999,2,49,0.308931
999,4,0,0.357763
999,4,1,0.349832
999,4,2,0.343542
999,4,3,0.338822
999,4,4,0.336752
999,4,5,0.332882
999,4,6,0.325761
999,4,7,0.325421
999,4,8,0.317831
999,4,9,0.321671
999,4,10,0.322692
999,4,11,0.318111
999,4,12,0.314121
999,4,13,0.331781
999,4,14,0.317801
999,4,15,0.314351
999,4,16,0.314711
999,4,17,0.308971
999,4,18,0.307191
999,4,19,0.30588
999,4,20,0.312111
999,4,21,0.307201
999,4,22,0.319331
999,4,23,0.334801
999,4,24,0.316752
999,4,25,0.318272
999,4,26,0.321761
999,4,27,0.313031
999,4,28,0.309571
999,4,29,0.318041
999,4,30,0.308021
999,4,31,0.328642
999,4,32,0.327491
999,4,33,0.314211
999,4,34,0.332352
999,4,35,0.330681
999,4,36,0.314511
999,4,37,0.316581
999,4,38,0.314201
999,4,39,0.308221
999,4,40,0.30359
