ensemble_size, batch_size, trial_num, h2d (ms), kernel (ms), d2h (ms)
999, 1, 0, 0.00608, 0.011264, 0.009184
999, 1, 1, 0.005952, 0.009216, 0.007264
999, 1, 2, 0.005696, 0.008192, 0.006976
999, 1, 3, 0.005536, 0.008192, 0.00736
999, 1, 4, 0.005824, 0.008192, 0.006784
999, 1, 5, 0.005824, 0.008352, 0.007488
999, 1, 6, 0.005344, 0.008, 0.008288
999, 1, 7, 0.005664, 0.010944, 0.012672
999, 1, 8, 0.005792, 0.010144, 0.008064
999, 1, 9, 0.005536, 0.009184, 0.006752
999, 1, 10, 0.005632, 0.008192, 0.006944
999, 1, 11, 0.005632, 0.008128, 0.007328
999, 1, 12, 0.00544, 0.008928, 0.006368
999, 1, 13, 0.00544, 0.008992, 0.006432
999, 1, 14, 0.005376, 0.00832, 0.006816
999, 1, 15, 0.005536, 0.008256, 0.00704
999, 1, 16, 0.005664, 0.00832, 0.007168
999, 1, 17, 0.00592, 0.008192, 0.006688
999, 1, 18, 0.005472, 0.008192, 0.006912
999, 1, 19, 0.005504, 0.008288, 0.007232
999, 1, 20, 0.005568, 0.009216, 0.006496
999, 1, 21, 0.005504, 0.009216, 0.006272
999, 1, 22, 0.005568, 0.00816, 0.007648
999, 1, 23, 0.00736, 0.012288, 0.00768
999, 1, 24, 0.005632, 0.009088, 0.007232
999, 1, 25, 0.005952, 0.009216, 0.007296
999, 1, 26, 0.005888, 0.008192, 0.007008
999, 1, 27, 0.005696, 0.008192, 0.007104
999, 1, 28, 0.00544, 0.008192, 0.007552
999, 1, 29, 0.005472, 0.00784, 0.007808
999, 1, 30, 0.005376, 0.009088, 0.006592
999, 1, 31, 0.005888, 0.008192, 0.006528
999, 1, 32, 0.005984, 0.008192, 0.00704
999, 1, 33, 0.006016, 0.008192, 0.007232
999, 1, 34, 0.005344, 0.008192, 0.006848
999, 1, 35, 0.005824, 0.008192, 0.006688
999, 1, 36, 0.005664, 0.008192, 0.00704
999, 1, 37, 0.005696, 0.008288, 0.006784
999, 1, 38, 0.005824, 0.008192, 0.008352
999, 1, 39, 0.0056, 0.00912, 0.007776
999, 1, 40, 0.005312, 0.009056, 0.006432
999, 1, 41, 0.00624, 0.008192, 0.006656
999, 1, 42, 0.005728, 0.008192, 0.006944
999, 1, 43, 0.005664, 0.008192, 0.006784
999, 1, 44, 0.005984, 0.008256, 0.006912
999, 1, 45, 0.005728, 0.007968, 0.007456
999, 1, 46, 0.005312, 0.008928, 0.006944
999, 1, 47, 0.005792, 0.008192, 0.006752
999, 1, 48, 0.006048, 0.008192, 0.006848
999, 1, 49, 0.005888, 0.008192, 0.006592
999, 2, 0, 0.0064, 0.009216, 0.008512
999, 2, 1, 0.006048, 0.008192, 0.00864
999, 2, 2, 0.005952, 0.008352, 0.009152
999, 2, 3, 0.005472, 0.008928, 0.007776
999, 2, 4, 0.005408, 0.008192, 0.008224
999, 2, 5, 0.005536, 0.008192, 0.008896
999, 2, 6, 0.005632, 0.008192, 0.008864
999, 2, 7, 0.005792, 0.00832, 0.008352
999, 2, 8, 0.005472, 0.008288, 0.008288
999, 2, 9, 0.005504, 0.009056, 0.007904
999, 2, 10, 0.00528, 0.008064, 0.00896
999, 2, 11, 0.005344, 0.008, 0.00864
999, 2, 12, 0.005312, 0.009088, 0.00816
999, 2, 13, 0.006016, 0.008192, 0.00816
999, 2, 14, 0.005376, 0.008288, 0.008512
999, 2, 15, 0.005536, 0.008192, 0.009472
999, 2, 16, 0.005792, 0.008192, 0.014304
999, 2, 17, 0.005696, 0.009184, 0.00992
999, 2, 18, 0.005312, 0.008128, 0.008448
999, 2, 19, 0.005344, 0.00784, 0.008544
999, 2, 20, 0.005952, 0.008192, 0.007744
999, 2, 21, 0.005728, 0.008192, 0.008448
999, 2, 22, 0.00544, 0.009024, 0.00784
999, 2, 23, 0.005568, 0.008192, 0.00848
999, 2, 24, 0.005248, 0.00896, 0.00768
999, 2, 25, 0.005728, 0.008192, 0.00848
999, 2, 26, 0.005312, 0.008896, 0.007904
999, 2, 27, 0.005696, 0.008192, 0.008832
999, 2, 28, 0.00544, 0.00816, 0.017568
999, 2, 29, 0.005664, 0.009216, 0.008576
999, 2, 30, 0.00576, 0.008192, 0.008032
999, 2, 31, 0.005376, 0.011072, 0.011776
999, 2, 32, 0.005952, 0.009216, 0.008288
999, 2, 33, 0.005472, 0.00832, 0.00816
999, 2, 34, 0.005952, 0.008192, 0.007968
999, 2, 35, 0.005664, 0.008864, 0.007808
999, 2, 36, 0.005536, 0.008192, 0.008832
999, 2, 37, 0.005632, 0.008192, 0.008288
999, 2, 38, 0.00544, 0.009056, 0.008096
999, 2, 39, 0.006176, 0.008192, 0.007808
999, 2, 40, 0.005728, 0.008192, 0.008448
999, 2, 41, 0.006144, 0.008192, 0.007648
999, 2, 42, 0.005888, 0.008192, 0.00832
999, 2, 43, 0.005952, 0.008192, 0.008224
999, 2, 44, 0.005408, 0.00896, 0.007488
999, 2, 45, 0.005984, 0.008192, 0.008448
999, 2, 46, 0.005824, 0.008192, 0.008576
999, 2, 47, 0.005664, 0.008192, 0.008192
999, 2, 48, 0.005888, 0.008192, 0.00816
999, 2, 49, 0.005344, 0.008192, 0.008736
999, 4, 0, 0.005792, 0.00912, 0.011488
999, 4, 1, 0.005888, 0.008192, 0.010784
999, 4, 2, 0.005824, 0.008192, 0.011296
999, 4, 3, 0.00608, 0.008288, 0.017216
999, 4, 4, 0.00608, 0.009216, 0.010848
999, 4, 5, 0.005792, 0.008224, 0.011616
999, 4, 6, 0.005472, 0.008896, 0.01104
999, 4, 7, 0.005536, 0.008352, 0.011616
999, 4, 8, 0.005536, 0.009088, 0.012032
999, 4, 9, 0.005472, 0.008448, 0.011136
999, 4, 10, 0.005408, 0.00896, 0.010656
999, 4, 11, 0.005792, 0.008192, 0.010656
999, 4, 12, 0.005888, 0.008192, 0.011552
999, 4, 13, 0.006016, 0.008192, 0.010976
999, 4, 14, 0.0056, 0.008192, 0.01136
999, 4, 15, 0.00544, 0.008992, 0.010336
999, 4, 16, 0.00592, 0.008192, 0.01072
999, 4, 17, 0.0056, 0.009056, 0.013376
999, 4, 18, 0.005472, 0.008192, 0.010688
999, 4, 19, 0.005984, 0.008192, 0.01088
999, 4, 20, 0.006016, 0.008192, 0.010816
999, 4, 21, 0.00576, 0.008256, 0.01104
999, 4, 22, 0.005664, 0.008192, 0.011392
999, 4, 23, 0.0056, 0.008192, 0.011456
999, 4, 24, 0.006304, 0.008192, 0.010688
999, 4, 25, 0.00544, 0.00832, 0.010688
999, 4, 26, 0.005952, 0.008192, 0.010464
999, 4, 27, 0.005408, 0.00912, 0.010528
999, 4, 28, 0.005504, 0.00912, 0.01168
999, 4, 29, 0.005504, 0.008096, 0.012224
999, 4, 30, 0.00576, 0.008192, 0.010784
999, 4, 31, 0.005888, 0.008192, 0.01072
999, 4, 32, 0.005472, 0.008224, 0.010976
999, 4, 33, 0.006144, 0.008192, 0.01088
999, 4, 34, 0.005984, 0.008192, 0.011424
999, 4, 35, 0.005568, 0.008192, 0.011264
999, 4, 36, 0.005536, 0.009088, 0.010816
999, 4, 37, 0.006048, 0.008192, 0.010688
999, 4, 38, 0.006208, 0.007456, 0.011264
999, 4, 39, 0.005632, 0.007904, 0.011936
999, 4, 40, 0.005984, 0.008192, 0.01072
999, 4, 41, 0.005408, 0.009024, 0.010944
999, 4, 42, 0.00544, 0.008352, 0.011296
999, 4, 43, 0.005728, 0.008896, 0.01024
999, 4, 44, 0.0056, 0.009216, 0.010816
999, 4, 45, 0.005504, 0.008832, 0.010304
999, 4, 46, 0.005632, 0.008192, 0.010912
999, 4, 47, 0.00608, 0.008192, 0.01088
999, 4, 48, 0.005312, 0.008928, 0.010848
999, 4, 49, 0.005856, 0.008192, 0.010976
999, 8, 0, 0.005728, 0.009216, 0.01712
999, 8, 1, 0.010688, 0.009184, 0.018016
999, 8, 2, 0.006144, 0.008192, 0.01744
999, 8, 3, 0.00624, 0.008192, 0.015904
999, 8, 4, 0.006048, 0.008192, 0.01616
999, 8, 5, 0.00576, 0.008192, 0.01616
999, 8, 6, 0.006784, 0.012256, 0.023296
999, 8, 7, 0.005952, 0.009216, 0.01712
999, 8, 8, 0.0056, 0.008032, 0.016544
999, 8, 9, 0.005696, 0.008256, 0.015968
999, 8, 10, 0.005408, 0.008192, 0.016832
999, 8, 11, 0.00544, 0.008896, 0.015488
999, 8, 12, 0.005408, 0.008192, 0.016224
999, 8, 13, 0.005696, 0.008192, 0.017536
999, 8, 14, 0.005568, 0.00848, 0.017312
999, 8, 15, 0.005472, 0.008224, 0.016128
999, 8, 16, 0.005824, 0.008192, 0.016896
999, 8, 17, 0.0056, 0.007968, 0.017568
999, 8, 18, 0.007072, 0.012288, 0.019456
999, 8, 19, 0.006368, 0.00848, 0.017248
999, 8, 20, 0.006208, 0.008192, 0.016576
999, 8, 21, 0.005536, 0.009184, 0.020544
999, 8, 22, 0.005728, 0.009024, 0.01744
999, 8, 23, 0.00624, 0.008192, 0.016992
999, 8, 24, 0.00592, 0.008192, 0.01552
999, 8, 25, 0.005856, 0.008192, 0.0168
999, 8, 26, 0.005376, 0.00896, 0.01568
999, 8, 27, 0.005632, 0.007968, 0.017376
999, 8, 28, 0.005824, 0.008416, 0.016672
999, 8, 29, 0.005376, 0.008992, 0.015552
999, 8, 30, 0.0056, 0.009216, 0.017152
999, 8, 31, 0.005984, 0.008192, 0.01584
999, 8, 32, 0.005792, 0.008352, 0.016992
999, 8, 33, 0.005408, 0.00816, 0.016096
999, 8, 34, 0.00576, 0.008192, 0.0176
999, 8, 35, 0.005408, 0.009152, 0.015456
999, 8, 36, 0.00544, 0.008352, 0.017984
999, 8, 37, 0.005824, 0.008352, 0.01584
999, 8, 38, 0.005888, 0.008192, 0.017472
999, 8, 39, 0.005792, 0.008192, 0.015616
