Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.1,261864685,11,23805880.5,7241026.0,1323,186904408,55113899.0,poll
24.5,87763474,501,175176.6,8586.0,511,12052404,784524.0,ioctl
0.7,2473692,496,4987.3,1638.5,1212,894036,51467.9,read
0.7,2445728,1,2445728.0,2445728.0,2445728,2445728,0.0,fopen64
0.5,1870330,25,74813.2,5761.0,3327,1366708,271003.8,mmap64
0.1,427507,9,47500.8,37430.0,25227,134300,33226.5,sem_timedwait
0.1,235308,43,5472.3,5180.0,3497,8576,1241.0,open64
0.1,214630,40,5365.8,3721.5,2084,21150,3995.5,fopen
0.0,142466,34,4190.2,952.0,721,104084,17663.2,fclose
0.0,121136,13,9318.2,2956.0,1683,70161,18463.6,mmap
0.0,118420,3,39473.3,36037.0,30687,51696,10917.9,pthread_create
0.0,84898,1,84898.0,84898.0,84898,84898,0.0,pthread_cond_wait
0.0,58337,50,1166.7,30.0,20,56896,8042.2,fgets
0.0,37203,57,652.7,621.0,461,1533,169.9,fcntl
0.0,33391,6,5565.2,5300.0,3196,9768,2259.5,open
0.0,18746,11,1704.2,1864.0,591,2615,558.7,write
0.0,17945,2,8972.5,8972.5,4409,13536,6453.8,socket
0.0,16812,3,5604.0,6783.0,2996,7033,2262.1,pipe2
0.0,15981,3,5327.0,3437.0,3106,9438,3564.1,munmap
0.0,13345,1,13345.0,13345.0,13345,13345,0.0,connect
0.0,10230,3,3410.0,3827.0,1333,5070,1903.1,pthread_cond_broadcast
0.0,4719,7,674.1,581.0,491,1082,214.4,dup
0.0,4217,2,2108.5,2108.5,1733,2484,531.0,fwrite
0.0,3015,1,3015.0,3015.0,3015,3015,0.0,bind
0.0,1162,1,1162.0,1162.0,1162,1162,0.0,listen
0.0,341,10,34.1,20.5,20,130,34.0,fflush
